24.87,2,2023-10-17 18:45:27 +0900
25.88,1,2023-10-17 18:45:38 +0900
24.87,2,2023-10-17 18:50:27 +0900
25.88,1,2023-10-17 18:50:38 +0900
24.87,2,2023-10-17 18:55:27 +0900
25.88,1,2023-10-17 18:55:38 +0900
25,2,2023-10-17 19:00:27 +0900
25.62,1,2023-10-17 19:00:38 +0900
25.12,2,2023-10-17 19:05:27 +0900
25.75,1,2023-10-17 19:05:38 +0900
25.25,2,2023-10-17 19:10:27 +0900
26,1,2023-10-17 19:10:38 +0900
25,2,2023-10-17 19:15:27 +0900
26.12,1,2023-10-17 19:15:38 +0900
25,2,2023-10-17 19:20:27 +0900
26.25,1,2023-10-17 19:20:38 +0900
24.87,2,2023-10-17 19:25:27 +0900
26.37,1,2023-10-17 19:25:38 +0900
24.87,2,2023-10-17 19:30:27 +0900
26.37,1,2023-10-17 19:30:38 +0900
24.87,2,2023-10-17 19:35:27 +0900
26.37,1,2023-10-17 19:35:38 +0900
24.87,2,2023-10-17 19:40:27 +0900
26.37,1,2023-10-17 19:40:38 +0900
24.87,2,2023-10-17 19:45:27 +0900
26.37,1,2023-10-17 19:45:38 +0900
24.75,2,2023-10-17 19:50:27 +0900
26.37,1,2023-10-17 19:50:38 +0900
24.75,2,2023-10-17 19:55:27 +0900
26.25,1,2023-10-17 19:55:38 +0900
24.75,2,2023-10-17 20:00:27 +0900
26.25,1,2023-10-17 20:00:38 +0900
24.75,2,2023-10-17 20:05:27 +0900
26.12,1,2023-10-17 20:05:38 +0900
24.63,2,2023-10-17 20:10:27 +0900
26,1,2023-10-17 20:10:38 +0900
24.63,2,2023-10-17 20:15:27 +0900
25.88,1,2023-10-17 20:15:38 +0900
24.63,2,2023-10-17 20:20:27 +0900
25.88,1,2023-10-17 20:20:38 +0900
24.63,2,2023-10-17 20:25:27 +0900
25.75,1,2023-10-17 20:25:38 +0900
24.63,2,2023-10-17 20:30:27 +0900
25.62,1,2023-10-17 20:30:38 +0900
24.63,2,2023-10-17 20:35:27 +0900
25.5,1,2023-10-17 20:35:38 +0900
24.5,2,2023-10-17 20:40:27 +0900
25.5,1,2023-10-17 20:40:38 +0900
24.37,2,2023-10-17 20:45:27 +0900
25.37,1,2023-10-17 20:45:38 +0900
24.37,2,2023-10-17 20:50:27 +0900
25.25,1,2023-10-17 20:50:38 +0900
24.25,2,2023-10-17 20:55:27 +0900
25.12,1,2023-10-17 20:55:39 +0900
24.12,2,2023-10-17 21:00:27 +0900
25,1,2023-10-17 21:00:38 +0900
24.12,2,2023-10-17 21:05:27 +0900
25,1,2023-10-17 21:05:38 +0900
24,2,2023-10-17 21:10:27 +0900
24.87,1,2023-10-17 21:10:39 +0900
24,2,2023-10-17 21:15:27 +0900
24.75,1,2023-10-17 21:15:39 +0900
24,2,2023-10-17 21:20:27 +0900
24.75,1,2023-10-17 21:20:39 +0900
24,2,2023-10-17 21:25:27 +0900
24.63,1,2023-10-17 21:25:39 +0900
23.87,2,2023-10-17 21:30:27 +0900
24.63,1,2023-10-17 21:30:39 +0900
24,2,2023-10-17 21:35:27 +0900
24.5,1,2023-10-17 21:35:39 +0900
24,2,2023-10-17 21:40:27 +0900
24.5,1,2023-10-17 21:40:39 +0900
24,2,2023-10-17 21:45:27 +0900
24.25,1,2023-10-17 21:45:39 +0900
24,2,2023-10-17 21:50:27 +0900
24.12,1,2023-10-17 21:50:39 +0900
24,2,2023-10-17 21:55:27 +0900
24.12,1,2023-10-17 21:55:39 +0900
23.87,2,2023-10-17 22:00:27 +0900
24.12,1,2023-10-17 22:00:39 +0900
23.87,2,2023-10-17 22:05:27 +0900
24,1,2023-10-17 22:05:39 +0900
23.87,2,2023-10-17 22:10:27 +0900
23.87,1,2023-10-17 22:10:39 +0900
23.87,2,2023-10-17 22:15:28 +0900
23.87,1,2023-10-17 22:15:39 +0900
23.87,2,2023-10-17 22:20:28 +0900
23.87,1,2023-10-17 22:20:39 +0900
23.75,2,2023-10-17 22:25:28 +0900
23.87,1,2023-10-17 22:25:39 +0900
23.75,2,2023-10-17 22:30:28 +0900
23.87,1,2023-10-17 22:30:39 +0900
23.75,2,2023-10-17 22:35:28 +0900
23.75,1,2023-10-17 22:35:39 +0900
23.75,2,2023-10-17 22:40:28 +0900
23.75,1,2023-10-17 22:40:39 +0900
23.75,2,2023-10-17 22:45:28 +0900
23.75,1,2023-10-17 22:45:39 +0900
23.75,2,2023-10-17 22:50:28 +0900
23.87,1,2023-10-17 22:50:39 +0900
23.62,2,2023-10-17 22:55:28 +0900
23.75,1,2023-10-17 22:55:39 +0900
23.62,2,2023-10-17 23:00:28 +0900
23.87,1,2023-10-17 23:00:39 +0900
23.62,2,2023-10-17 23:05:28 +0900
23.87,1,2023-10-17 23:05:39 +0900
23.5,2,2023-10-17 23:10:28 +0900
23.87,1,2023-10-17 23:10:39 +0900
23.5,2,2023-10-17 23:15:28 +0900
23.87,1,2023-10-17 23:15:39 +0900
23.38,2,2023-10-17 23:20:28 +0900
23.87,1,2023-10-17 23:20:39 +0900
23.38,2,2023-10-17 23:25:28 +0900
23.75,1,2023-10-17 23:25:39 +0900
23.25,2,2023-10-17 23:30:28 +0900
23.75,1,2023-10-17 23:30:39 +0900
23.25,2,2023-10-17 23:35:28 +0900
23.75,1,2023-10-17 23:35:39 +0900
23.25,2,2023-10-17 23:40:28 +0900
23.62,1,2023-10-17 23:40:39 +0900
23.25,2,2023-10-17 23:45:28 +0900
23.62,1,2023-10-17 23:45:39 +0900
23.25,2,2023-10-17 23:50:28 +0900
23.62,1,2023-10-17 23:50:39 +0900
23.25,2,2023-10-17 23:55:28 +0900
23.62,1,2023-10-17 23:55:39 +0900
23.25,2,2023-10-18 00:00:28 +0900
23.62,1,2023-10-18 00:00:39 +0900
23.12,2,2023-10-18 00:05:28 +0900
23.62,1,2023-10-18 00:05:39 +0900
23.12,2,2023-10-18 00:10:28 +0900
23.5,1,2023-10-18 00:10:39 +0900
23.12,2,2023-10-18 00:15:28 +0900
23.38,1,2023-10-18 00:15:39 +0900
23.12,2,2023-10-18 00:20:28 +0900
23.38,1,2023-10-18 00:20:39 +0900
23.12,2,2023-10-18 00:25:28 +0900
23.38,1,2023-10-18 00:25:39 +0900
23.12,2,2023-10-18 00:30:28 +0900
23.5,1,2023-10-18 00:30:39 +0900
23.12,2,2023-10-18 00:35:28 +0900
23.38,1,2023-10-18 00:35:39 +0900
23.12,2,2023-10-18 00:40:28 +0900
23.38,1,2023-10-18 00:40:39 +0900
23.12,2,2023-10-18 00:45:28 +0900
23.38,1,2023-10-18 00:45:39 +0900
23,2,2023-10-18 00:50:28 +0900
23.38,1,2023-10-18 00:50:39 +0900
23,2,2023-10-18 00:55:28 +0900
23.38,1,2023-10-18 00:55:40 +0900
22.87,2,2023-10-18 01:00:28 +0900
23.25,1,2023-10-18 01:00:39 +0900
22.87,2,2023-10-18 01:05:28 +0900
23.25,1,2023-10-18 01:05:39 +0900
22.75,2,2023-10-18 01:10:28 +0900
23.25,1,2023-10-18 01:10:40 +0900
22.75,2,2023-10-18 01:15:28 +0900
23.12,1,2023-10-18 01:15:40 +0900
22.75,2,2023-10-18 01:20:28 +0900
23.12,1,2023-10-18 01:20:40 +0900
22.75,2,2023-10-18 01:25:28 +0900
23,1,2023-10-18 01:25:40 +0900
22.62,2,2023-10-18 01:30:28 +0900
23,1,2023-10-18 01:30:40 +0900
22.62,2,2023-10-18 01:35:28 +0900
23,1,2023-10-18 01:35:40 +0900
22.75,2,2023-10-18 01:40:28 +0900
22.87,1,2023-10-18 01:40:40 +0900
22.75,2,2023-10-18 01:45:28 +0900
22.87,1,2023-10-18 01:45:40 +0900
22.75,2,2023-10-18 01:50:28 +0900
22.87,1,2023-10-18 01:50:40 +0900
22.75,2,2023-10-18 01:55:28 +0900
22.87,1,2023-10-18 01:55:40 +0900
22.75,2,2023-10-18 02:00:28 +0900
23,1,2023-10-18 02:00:40 +0900
22.62,2,2023-10-18 02:05:28 +0900
23.12,1,2023-10-18 02:05:40 +0900
22.5,2,2023-10-18 02:10:28 +0900
23.25,1,2023-10-18 02:10:40 +0900
22.5,2,2023-10-18 02:15:29 +0900
23.38,1,2023-10-18 02:15:40 +0900
22.5,2,2023-10-18 02:20:29 +0900
23.5,1,2023-10-18 02:20:40 +0900
22.37,2,2023-10-18 02:25:29 +0900
23.62,1,2023-10-18 02:25:40 +0900
22.37,2,2023-10-18 02:30:29 +0900
23.62,1,2023-10-18 02:30:40 +0900
22.25,2,2023-10-18 02:35:29 +0900
23.75,1,2023-10-18 02:35:40 +0900
22.37,2,2023-10-18 02:40:29 +0900
23.62,1,2023-10-18 02:40:40 +0900
22.25,2,2023-10-18 02:45:29 +0900
23.75,1,2023-10-18 02:45:40 +0900
22.25,2,2023-10-18 02:50:29 +0900
23.75,1,2023-10-18 02:50:40 +0900
22.25,2,2023-10-18 02:55:29 +0900
23.87,1,2023-10-18 02:55:40 +0900
22.13,2,2023-10-18 03:00:29 +0900
23.87,1,2023-10-18 03:00:40 +0900
22,2,2023-10-18 03:05:29 +0900
23.87,1,2023-10-18 03:05:40 +0900
22,2,2023-10-18 03:10:29 +0900
23.87,1,2023-10-18 03:10:40 +0900
21.87,2,2023-10-18 03:15:29 +0900
24,1,2023-10-18 03:15:40 +0900
21.87,2,2023-10-18 03:20:29 +0900
23.87,1,2023-10-18 03:20:40 +0900
21.87,2,2023-10-18 03:25:29 +0900
23.87,1,2023-10-18 03:25:40 +0900
21.75,2,2023-10-18 03:30:29 +0900
24,1,2023-10-18 03:30:40 +0900
21.75,2,2023-10-18 03:35:29 +0900
23.87,1,2023-10-18 03:35:40 +0900
21.75,2,2023-10-18 03:40:29 +0900
24,1,2023-10-18 03:40:40 +0900
21.62,2,2023-10-18 03:45:29 +0900
24,1,2023-10-18 03:45:40 +0900
21.37,2,2023-10-18 03:50:29 +0900
23.87,1,2023-10-18 03:50:40 +0900
21.5,2,2023-10-18 03:55:29 +0900
24.87,1,2023-10-18 03:55:40 +0900
21.37,2,2023-10-18 04:00:29 +0900
25.75,1,2023-10-18 04:00:40 +0900
21.25,2,2023-10-18 04:05:29 +0900
25.88,1,2023-10-18 04:05:40 +0900
21.12,2,2023-10-18 04:10:29 +0900
25.62,1,2023-10-18 04:10:40 +0900
21.25,2,2023-10-18 04:15:29 +0900
25.5,1,2023-10-18 04:15:40 +0900
21.12,2,2023-10-18 04:20:29 +0900
25.5,1,2023-10-18 04:20:40 +0900
21.25,2,2023-10-18 04:25:29 +0900
25.37,1,2023-10-18 04:25:40 +0900
21.12,2,2023-10-18 04:30:29 +0900
25.88,1,2023-10-18 04:30:40 +0900
21,2,2023-10-18 04:35:29 +0900
26.62,1,2023-10-18 04:35:40 +0900
21,2,2023-10-18 04:40:29 +0900
27.13,1,2023-10-18 04:40:40 +0900
21,2,2023-10-18 04:45:29 +0900
26.5,1,2023-10-18 04:45:40 +0900
21,2,2023-10-18 04:50:29 +0900
26.37,1,2023-10-18 04:50:40 +0900
21,2,2023-10-18 04:55:29 +0900
26.37,1,2023-10-18 04:55:40 +0900
21,2,2023-10-18 05:00:29 +0900
26.37,1,2023-10-18 05:00:40 +0900
21,2,2023-10-18 05:05:29 +0900
26.37,1,2023-10-18 05:05:40 +0900
21,2,2023-10-18 05:10:29 +0900
26.37,1,2023-10-18 05:10:40 +0900
21,2,2023-10-18 05:15:29 +0900
26.37,1,2023-10-18 05:15:40 +0900
20.88,2,2023-10-18 05:20:29 +0900
26.37,1,2023-10-18 05:20:41 +0900
20.88,2,2023-10-18 05:25:29 +0900
26.37,1,2023-10-18 05:25:41 +0900
